user_id,aid,ds_sensitivity,ds_cost,start_time,complete,end_time
6,test,low,5,2025-05-12 08:17:09.162333+00:00,True,2025-05-12 08:23:37.750163+00:00
7,test,low,5,2025-05-12 08:25:37.009475+00:00,False,
8,test,low,14,2025-05-12 08:27:19.078897+00:00,False,
9,test,high,14,2025-05-13 16:57:23.539361+00:00,False,2025-05-13 17:03:40.660381+00:00
10,test,low,14,2025-05-13 17:20:00.394725+00:00,False,2025-05-13 17:21:48.920489+00:00
11,test,high,14,2025-05-13 17:24:10.833117+00:00,False,2025-05-13 17:26:06.817187+00:00
12,test,high,5,2025-05-13 17:26:22.628177+00:00,False,2025-05-13 17:26:24.471798+00:00
13,test,high,5,2025-05-13 17:40:22.878063+00:00,False,
14,test,low,5,2025-05-13 17:42:01.002664+00:00,False,2025-05-13 17:43:30.600926+00:00
15,test,low,5,2025-05-13 17:50:00.441139+00:00,False,
16,test,high,14,2025-05-13 17:52:39.478954+00:00,False,2025-05-13 17:53:14.672583+00:00
